0,17,0,-1
0,19,0,1
0,3,0,-1
0,5,0,-1
0,12,0,-1
1,20,0,-1
1,21,0,-1
1,6,0,-1
1,11,0,-1
2,18,0,-1
2,4,0,-1
2,22,0,-1
2,8,0,-1
2,12,0,-1
3,4,0,-1
3,7,0,-1
3,24,0,-1
3,10,0,-1
3,14,0,-1
4,9,0,-1
4,11,0,-1
5,17,0,-1
5,21,0,-1
5,22,0,-1
6,18,0,-1
8,16,0,-1
9,16,0,-1
9,19,0,1
9,13,0,-1
10,19,0,-1
11,23,0,-1
11,12,0,-1
11,14,0,-1
12,16,0,-1
12,17,0,-1
12,19,0,-1
12,23,0,-1
13,16,0,-1
13,18,0,-1
13,20,0,-1
13,21,0,-1
14,18,0,-1
14,19,0,-1
14,21,0,-1
15,16,0,-1
15,17,0,-1
15,19,0,1
15,23,0,-1
16,21,0,-1
18,20,0,-1
0,17,1,-1
0,19,1,1
0,3,1,-1
0,5,1,-1
0,12,1,-1
1,20,1,-1
1,21,1,-1
1,6,1,-1
1,11,1,-1
2,18,1,-1
2,4,1,1
2,22,1,-1
2,8,1,-1
2,12,1,-1
3,4,1,-1
3,7,1,-1
3,24,1,-1
3,10,1,-1
3,14,1,1
4,9,1,-1
4,11,1,-1
5,17,1,-1
5,21,1,-1
5,22,1,-1
6,18,1,-1
8,16,1,-1
9,16,1,-1
9,19,1,1
9,13,1,-1
10,19,1,1
11,23,1,-1
11,12,1,-1
11,14,1,-1
12,16,1,-1
12,17,1,-1
12,19,1,1
12,23,1,-1
13,16,1,-1
13,18,1,-1
13,20,1,-1
13,21,1,-1
14,18,1,-1
14,19,1,1
14,21,1,-1
15,16,1,-1
15,17,1,-1
15,19,1,1
15,23,1,-1
16,21,1,-1
18,20,1,-1
0,17,2,-1
0,19,2,1
0,3,2,-1
0,5,2,1
0,12,2,1
1,20,2,-1
1,21,2,-1
1,6,2,-1
1,11,2,-1
2,18,2,-1
2,4,2,1
2,22,2,-1
2,8,2,-1
2,12,2,-1
3,4,2,1
3,7,2,-1
3,24,2,-1
3,10,2,-1
3,14,2,1
4,9,2,1
4,11,2,-1
5,17,2,-1
5,21,2,-1
5,22,2,-1
6,18,2,-1
8,16,2,-1
9,16,2,1
9,19,2,1
9,13,2,1
10,19,2,-1
11,23,2,-1
11,12,2,-1
11,14,2,-1
12,16,2,1
12,17,2,-1
12,19,2,1
12,23,2,-1
13,16,2,-1
13,18,2,-1
13,20,2,-1
13,21,2,-1
14,18,2,-1
14,19,2,1
14,21,2,-1
15,16,2,-1
15,17,2,1
15,19,2,1
15,23,2,-1
16,21,2,1
18,20,2,-1
0,17,3,-1
0,19,3,1
0,3,3,1
0,5,3,-1
0,12,3,1
1,20,3,-1
1,21,3,-1
1,6,3,-1
1,11,3,-1
2,18,3,-1
2,4,3,1
2,22,3,-1
2,8,3,-1
2,12,3,1
3,4,3,1
3,7,3,-1
3,24,3,-1
3,10,3,1
3,14,3,-1
4,9,3,1
4,11,3,1
5,17,3,-1
5,21,3,-1
5,22,3,-1
6,18,3,-1
8,16,3,-1
9,16,3,1
9,19,3,1
9,13,3,1
10,19,3,-1
11,23,3,-1
11,12,3,1
11,14,3,-1
12,16,3,1
12,17,3,-1
12,19,3,1
12,23,3,1
13,16,3,-1
13,18,3,-1
13,20,3,-1
13,21,3,-1
14,18,3,-1
14,19,3,1
14,21,3,-1
15,16,3,-1
15,17,3,-1
15,19,3,-1
15,23,3,1
16,21,3,-1
18,20,3,-1
0,17,4,-1
0,19,4,-1
0,3,4,-1
0,5,4,-1
0,12,4,1
1,20,4,-1
1,21,4,-1
1,6,4,-1
1,11,4,-1
2,18,4,-1
2,4,4,-1
2,22,4,-1
2,8,4,1
2,12,4,1
3,4,4,1
3,7,4,1
3,24,4,-1
3,10,4,1
3,14,4,-1
4,9,4,-1
4,11,4,1
5,17,4,-1
5,21,4,-1
5,22,4,-1
6,18,4,-1
8,16,4,1
9,16,4,1
9,19,4,1
9,13,4,-1
10,19,4,-1
11,23,4,1
11,12,4,1
11,14,4,-1
12,16,4,1
